EDAD,SINIESTROS_F,MONTO_SIN_F,SEGUROS_F,SINIESTROS_M,MONTO_SIN_M,SEGUROS_M
25,75,36840.53707,53599,164,134225.246,76119
26,101,34851.27861,56139,158,91271.32937,76798
27,124,41548.13153,59141,251,70331.77629,78536
28,167,160542.5516,63784,303,59994.76426,83620
29,142,31023.13824,66786,254,66739.40957,85022
30,189,26721.17556,72494,354,72018.45743,89936
31,215,52645.40205,73163,380,65385.68637,89071
32,257,68938.48961,73394,416,66642.85536,88874
33,252,77599.86504,73688,420,90105.30202,86985
34,207,53349.3814,74893,530,76816.64521,87683
35,243,58066.61539,74488,682,77348.98213,88416
36,226,56001.1896,74724,506,101681.312,86047
37,242,47376.74657,75235,578,108982.5677,86593
38,193,50041.30425,72101,718,97745.06008,84066
39,182,80661.0433,70085,745,100060.8092,81005
40,168,54767.18649,293649,643,126740.6881,79966
41,169,58970.10639,65914,796,111357.3058,75336
42,231,80233.06636,64508,713,128557.3809,72719
43,179,93126.53598,64132,820,118342.725,70980
44,251,68128.90641,62183,761,117608.8125,68883
45,287,71600.85969,61938,844,125714.0459,69028
46,186,116266.7238,63009,770,132135.5899,68710
47,263,89568.39247,60967,866,130664.2279,67017
48,212,89130.72401,58647,1077,129454.8721,63725
49,228,95391.26096,55824,939,165496.6601,59990
50,273,104900.8151,52851,951,115296.7898,56927
51,225,92100.88716,49470,886,140972.7335,52094
52,228,112834.4421,46973,976,134686.796,48272
53,259,127813.1589,43575,795,132533.5771,44778
54,230,97595.63326,41710,772,149371.1631,42405
55,203,137222.9985,39823,791,137448.6252,39903
56,219,108668.6516,38330,956,156705.8413,37735
57,228,114063.0188,35382,661,190771.8911,34448
58,172,153240.4423,32575,698,168693.0231,31876
59,258,107331.7616,31280,798,173274.9042,29728
60,236,119328.0294,28908,699,157739.7894,27305
61,180,151645.567,24487,608,189420.0014,23510
62,160,109242.0063,19351,365,192614.4253,20703
63,188,192721.0935,18155,466,166197.6637,19097
64,140,124222.4714,16679,633,166714.8881,17829
65,127,99513.94213,15229,612,160058.2181,16081
66,192,94645.1438,13645,414,185111.236,14181
67,172,80607.85605,12502,390,172008.0108,12793
68,140,167132.9533,10919,399,184670.3731,11473
69,164,134396.1285,9880,356,189879.8071,10476
70,154,134228.4242,8760,290,221898.146,9369
71,118,150172.8344,8025,291,185061.3257,8319
72,84,124464.5056,7312,236,137078.0951,7101
73,69,111085.4614,6620,259,162795.7788,6549
74,105,122697.8751,5862,175,179786.0011,5856
75,49,171408.382,5011,236,256201.1513,5315
76,67,75960.32761,4882,185,212514.7324,4707
77,57,131178.1132,4555,195,218982.3741,4123
